row_id	module	suite	class	method	mutator	status	label	line	member_status	declarations	bodies_shown	paragraph_chars	swapped_mutator	word_real	word_swapped	identifiers_missing
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#PrimitiveReturnsMutator#SURVIVED#57	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	deleteEntry	PrimitiveReturnsMutator	SURVIVED	durability unobservable	57	RESOLVED	1	1	101	VoidMethodCallMutator	false	true	
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#56	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	deleteEntry	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	durability unobservable	56	RESOLVED	1	1	101	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_ORDER_IF#SURVIVED#69	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	deleteEntry	RemoveConditionalMutator_ORDER_IF	SURVIVED	durability unobservable	69	RESOLVED	1	1	101	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#VoidMethodCallMutator#SURVIVED#81	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	deleteEntry	VoidMethodCallMutator	SURVIVED	durability unobservable	81	RESOLVED	1	1	101	MathMutator	true	false	
glam-sdk-java/services#services#KeyedFlatFileImpl.overwriteFile#VoidMethodCallMutator#SURVIVED#114	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	overwriteFile	VoidMethodCallMutator	SURVIVED	durability unobservable	114	RESOLVED	1	1	101	MathMutator	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.createIfChanged#RemoveConditionalMutator_EQUAL_IF#SURVIVED#248	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	createIfChanged	RemoveConditionalMutator_EQUAL_IF	SURVIVED	subsumed count guard	248	RESOLVED	1	1	145	NullReturnValsMutator	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.createIfChanged#RemoveConditionalMutator_EQUAL_IF#SURVIVED#266	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	createIfChanged	RemoveConditionalMutator_EQUAL_IF	SURVIVED	subsumed count guard	266	RESOLVED	1	1	145	NullReturnValsMutator	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#383	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	383	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#384	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	384	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#385	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	385	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#386	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	386	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#387	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	387	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#388	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	388	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#389	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	389	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#390	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	390	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#391	glam-sdk-java/services	services	systems.glam.services.state.MinGlamStateAccount	hashCode	MathMutator	SURVIVED	hashcode mixing	391	RESOLVED	1	1	121	RemoveConditionalMutator_EQUAL_ELSE	true	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NakedReceiverMutator#NO_COVERAGE#89	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	NakedReceiverMutator	NO_COVERAGE	seamless bootstrap	89	RESOLVED	1	1	127	MathMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NakedReceiverMutator#NO_COVERAGE#90	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	NakedReceiverMutator	NO_COVERAGE	seamless bootstrap	90	RESOLVED	1	1	127	MathMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NullReturnValsMutator#NO_COVERAGE#184	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	NullReturnValsMutator	NO_COVERAGE	seamless bootstrap	184	RESOLVED	1	1	127	VoidMethodCallMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#112	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	RemoveConditionalMutator_EQUAL_ELSE	NO_COVERAGE	seamless bootstrap	112	RESOLVED	1	1	127	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#121	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	RemoveConditionalMutator_EQUAL_ELSE	NO_COVERAGE	seamless bootstrap	121	RESOLVED	1	1	127	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#112	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	RemoveConditionalMutator_EQUAL_IF	NO_COVERAGE	seamless bootstrap	112	RESOLVED	1	1	127	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#121	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	RemoveConditionalMutator_EQUAL_IF	NO_COVERAGE	seamless bootstrap	121	RESOLVED	1	1	127	NullReturnValsMutator	false	false	
